Timestamp,Generation,Population Size,Births,Deaths,Rule Set
2025-05-06T09:05:20.670Z,1,12,4,9,GoL
2025-05-06T09:05:21.068Z,2,20,8,0,GoL
2025-05-06T09:05:21.403Z,3,16,4,8,GoL
2025-05-06T09:05:21.620Z,4,12,4,8,GoL
2025-05-06T09:05:21.844Z,5,8,4,8,GoL
2025-05-06T09:05:22.027Z,6,0,0,8,GoL
